Song Name ,Artist,Emotions,Anime,Ratings
Baby It’s You, JUNE, Motivated, Bleach, 7.82
Sakura Biyori, Mai Hoshimura, Love, Bleach, 9.25
Tsumasaki, Ore Ska Band, Happy, Bleach, 8.36
Daidai, chatmonchy, Pain, Bleach, 6.77
Tane wo Maku Hibi, Atari Kousuke, Intense, Bleach, 8.69
Kansha., RSP a.k.a Real Street Project, Motivated, Bleach, 7.48
Orange, Lil’B a.k.a MIE&AILA, Sad, Bleach, 6.21
Gallop, pe’zmoku, Love, Bleach, 9.07
Hitohira no Hanabira, STEREOPONY, Happy, Bleach, 8.93
Sky Chord Otona ni Naru Kimi e, Tsuji Shion, Intense, Bleach, 8.79
Kimi wo Mamotte, Kimi wo Aishite, Pain, Bleach, 6.67
Mad Surfer, Kenichi Asai, Sad, Bleach, 6.45
Sakurabito, SunSet Swish, Love, Bleach, 9.10
Tabidatsu Kimi e, RSP, Motivated, Bleach, 7.54
Stay Beautiful, Diggy-MO’, Happy, Bleach, 8.86
Echoes, universe, Love, Bleach, 9.36
Last Moment, SPYAIR, Intense, Bleach, 8.15
Song for…, ROOKiEZ is PUNK’D, Motivated, Bleach, 7.27
Blue Bird, fumika, Happy, Bleach, 8.62
Haruka Kanata, UNLIMITS, Sad, Bleach, 6.78
Re, Aimer, Love, Bleach, 9.45
Mask, Aqua Timez, Motivated, Bleach, 7.73
Scar, Tatsuya Kitani, Intense, Bleach, 8.03
Rapport, Tatsuya Kitani, Pain, Bleach, 6.29
Saihate, SennaRin, Sad, Bleach, 6.55
Number One (feat. Hazel Fernandes), Shiro SAGISU, Happy, Bleach, 8.91
Kaikai Kitan, Eve, Motivated, Jujutsu Kaisen, 8.47
VIVID VICE, Who-ya Extended, Sad, Jujutsu Kaisen, 7.35
LOST IN PARADISE feat. AKLO, ALI, Happy, Jujutsu Kaisen, 9.02
give it back, Cö shu Nie, Intense, Jujutsu Kaisen, 6.78
Ao no Sumika, Tatsuya Kitani, Love, Jujutsu Kaisen, 8.24
SPECIALZ, King Gnu, Pain, Jujutsu Kaisen, 7.91
Akari, Soushi Sakiyama, Happy, Jujutsu Kaisen, 9.14
more than words, Hitsujibungaku, Motivated, Jujutsu Kaisen, 8.60
ALIVE, ClariS, Love, Lycoris Recoil, 8.25
Hana no Tou, Sayuri, Intense, Lycoris Recoil, 7.86
Hello world!, BUMP OF CHICKEN, Happy, Kekkai Sensen, 8.75
Sugar Song to Bitter Step, UNISON SQUARE GARDEN, Motivated, Kekkai Sensen, 9.10
fake town baby, UNISON SQUARE GARDEN, Intense, Kekkai Sensen & Beyond, 8.35
Step Up LOVE, DAOKO x Yasuyuki Okamura, Love, Kekkai Sensen & Beyond, 7.90
X.U., SawanoHiroyuki[nZk], Intense, Seraph of The End, 8.22
scaPEGoat, SawanoHiroyuki[nZk], Sad, Seraph of The End, 7.63
Two souls -toward the truth-, fripSide, Motivated, Seraph of The End, 8.85
Orarion, yanaginagi, Love, Seraph of The End, 7.40
departure!, Ono Masatoshi, Motivated, Hunter x Hunter, 8.24
Just Awake, Fear and Loathing in Las Vegas, Intense, Hunter x Hunter, 8.95
HUNTING FOR YOUR DREAM, Galneryus, Motivated, Hunter x Hunter, 8.73
Riot, Yoshihisa Hirano, Intense, Hunter x Hunter, 8.31
REASON, Yuzu, Sad, Hunter x Hunter, 7.58
Nagareboshi Kirari (YUZU Version), Yuzu, Love, Hunter x Hunter, 7.84
Hyouriittai, Yuzu, Happy, Hunter x Hunter, 8.46
Understanding, Yoshihisa Hirano, Pain, Hunter x Hunter, 7.92
Morning, Keno, Happy, Hunter x Hunter, 8.10
Taiyou wa Yoru mo Kagayaku, Wino, Love, Hunter x Hunter, 7.66
COLORS, FLOW, Intense, Code Geass: Lelouch Of The Rebellion, 8.56
Kaidoku Funou, Jinn, Motivated, Code Geass: Lelouch Of The Rebellion, 8.73
Hitomi no Tsubasa, Access, Love, Code Geass: Lelouch Of The Rebellion, 7.84
Yuukyou Seishunka, ALI PROJECT, Sad, Code Geass: Lelouch Of The Rebellion, 7.92
Mosaic Kakera, SunSet Swish, Happy, Code Geass: Lelouch Of The Rebellion, 8.10
Innocent Days, Hitomi, Pain, Code Geass: Lelouch Of The Rebellion, 7.66
Stories, Hitomi, Love, Code Geass: Lelouch Of The Rebellion, 8.24
All Hail Britannia!!!, Katsuyuki Nakanishi ft Hiroki Shimizu ft Tomohiro Tani, Intense, Code Geass: Lelouch Of The Rebellion, 8.95
Masquerade, Hitomi, Motivated, Code Geass: Lelouch Of The Rebellion, 8.31
Picaresque, Sakai Mikio, Intense, Code Geass: Lelouch Of The Rebellion, 7.58
Callin’, Sakai Mikio, Happy, Code Geass: Lelouch Of The Rebellion, 7.84
Alone, Hitomi, Sad, Code Geass: Lelouch Of The Rebellion, 8.46
Black Knights, Hideo Negi ft Masashi Kohata ft Hiroki Shimizu, Motivated, Code Geass: Lelouch Of The Rebellion, 7.92
02O-Two, Orange Range, Happy, Code Geass: Lelouch Of The Rebellion, 8.10
WORLD END, FLOW, Intense, Code Geass: Lelouch Of The Rebellion, 8.56
Shiawase Neiro, Orange Range, Love, Code Geass: Lelouch Of The Rebellion, 7.66
Waga Routashi Aku no Hana, ALI PROJECT, Pain, Code Geass: Lelouch Of The Rebellion, 8.73
INNOCENT SORROW, abingdon boys school, Intense, D.Gray-man, 8.62
Brightdown, Tamaki Nami, Motivated, D.Gray-man, 7.95
Doubt & Trust, access, Love, D.Gray-man, 8.21
Gekidou, UVERworld, Happy, D.Gray-man, 7.74
Snow Kiss, NIRGILIS, Sad, D.Gray-man, 8.10
Pride of Tomorrow, JUNE, Motivated, D.Gray-man, 7.89
Yume no Tsuduki e, surface, Love, D.Gray-man, 7.96
Antoinette Blue, Kitade Nana, Intense, D.Gray-man, 8.44
Anata ga Koko ni Iru Riyuu, Rie fu, Pain, D.Gray-man, 8.15
Wish, Sowelu, Happy, D.Gray-man, 8.05
Regret, Hoshimura Mai, Sad, D.Gray-man, 7.85
Changin, Stephanie, Love, D.Gray-man, 8.30
Key -bring it on my Destiny-, Lenny code fiction, Intense, D.Gray-man, 8.50
Lotus Pain, Mashiro Ayano, Pain, D.Gray-man, 7.70
Pride, Nothing’s Carved In Stone, Intense, Kingdom, 8.75
Voice of Soul, Takumi Ishida, Sad, Kingdom, 7.90
Destiny Sky, Yuki Wakai, Motivated, Kingdom, 8.12
Never Ending, Dasoku, Love, Kingdom, 7.88
GLORY DAYS, D☆DATE, Happy, Kingdom, 8.40
Exit, The Sketchbook, Pain, Kingdom, 7.65
Soko ni Kimi ga Iru, The Sketchbook, Sad, Kingdom, 7.84
TOMORROW, BiSH, Happy, Kingdom, 8.15
STACKiNG, BiSH, Intense, Kingdom, 7.92
Deep inside, waterweed, Love, Kingdom, 7.70
kIng, Emiko Suzuki, Motivated, Kingdom, 8.05
Ray, SUIREN, Happy, Kingdom, 7.95
geki, Zonji, Intense, Kingdom, 8.35
Genyou, haku, Sad, Kingdom, 7.60
Believe, Misaki, Happy, Kingdom, 8.10
Douka, DeNeel, Pain, Kingdom, 7.75
RULERS, Novel Core, Intense, Kingdom, 8.55
Young Complex, Kessoku Band, Motivated, Bocchi the Rock!, 8.23
Karakara, Kessoku Band, Happy, Bocchi the Rock!, 7.91
What's bad, Kessoku Band, Intense, Bocchi the Rock!, 8.45
Rolling Rock Your morning is full, Kessoku Band, Love, Bocchi the Rock!, 8.12
Oshiire yori Ai wo Komete, Hitori Gotoh (CV: Yoshino Aoyama), Sad, Bocchi the Rock!, 7.75
8-gatsu wo Yubiori Kazoeru Kimi to Machi de Deaeru Kakuritsu ni Tsuite, FUZZY LOGIC, Intense, Bocchi the Rock!, 8.30
Cocktail Song, Hitori Gotoh (CV: Yoshino Aoyama), Love, Bocchi the Rock!, 7.98
Kaze Hike no Uta, Hitori Gotoh (CV: Yoshino Aoyama), Motivated, Bocchi the Rock!, 8.17
Dakishime Magic, AKORINGO, Happy, Bocchi the Rock!, 7.80
Double Kokurekishi Bocchi, Hitori Gotoh (CV: Yoshino Aoyama), Love, Bocchi the Rock!, 8.05
Sono Hi Haitta Shinjin yori Tsukaenai Dame Baito no Elegy, Hitori Gotoh (CV: Yoshino Aoyama), Sad, Bocchi the Rock!, 7.62
Guitar to Kodoku to Aoi Hoshi, Kessoku Band, Motivated, Bocchi the Rock!, 8.38
Guitar is friend, Hitori Gotoh (CV: Yoshino Aoyama), Happy, Bocchi the Rock!, 7.87
Ano Band, Kessoku Band, Intense, Bocchi the Rock!, 8.50
Watashi Dake Yuurei, SICK HACK, Sad, Bocchi the Rock!, 7.71
Seiza ni Naretara, Kessoku Band, Happy, Bocchi the Rock!, 7.95
Wasurete Yaranai, Kessoku Band, Intense, Bocchi the Rock!, 8.63
Makafushigi Adventure, Hiroki Takahashi, Happy, Dragon Ball, 8.17
Romatikku Ageru Yo, Ushio Hashimoto, Love, Dragon Ball, 8.92
Cha-La Head-Cha-La, Hironobu Kageyama, Motivated, Dragon Ball, 9.05
We Gotta Power, Hironobu Kageyama, Intense, Dragon Ball, 8.78
Dete Koi Tobikiri ZENKAI Power!, MANNA, Sad, Dragon Ball, 7.64
We are Angel, Hironobu Kageyama, Love, Dragon Ball, 8.36
DAN DAN Kokoro Hikareteku, Field of View, Happy, Dragon Ball, 8.21
Not Alone, Deen, Intense, Dragon Ball, 8.43
Don’t you see!, Zard, Sad, Dragon Ball, 7.89
Blue Velvet, Shizuka Kudou, Love, Dragon Ball, 8.72
Sabitsuita Machine Gun de Ima wo Uchinukou, Wands, Motivated, Dragon Ball, 8.95
Dragon Soul, Tanimoto Takeyoshi, Happy, Dragon Ball, 8.60
Yeah! Break! Care! Break!, Tanimoto Takayoshi, Intense, Dragon Ball, 8.79
Kokoro no Hane, AKB48, Love, Dragon Ball, 8.27
Kuu-Zen-Zetsu-Go, Takayoshi Tanimoto, Sad, Dragon Ball, 7.71
Background Zarathustra, Good Morning America, Motivated, Dragon Ball, 8.88
Junjou, Leo Ieiri, Happy, Dragon Ball, 8.33
Oh Yeah!!!!!!!, Czecho No Republic, Intense, Dragon Ball, 8.14
GALAXY, Kyuuso Nekokami, Love, Dragon Ball, 8.96
Don’t Let Me Down, Gacharic Spin, Motivated, Dragon Ball, 8.45
fantastic dreamer, Machico, Happy, God’s Blessing on this Wonderful World!, 8.75
TOMORROW, Machico, Motivated, God’s Blessing on this Wonderful World!, 7.92
Growing Up, Machico, Intense, God’s Blessing on this Wonderful World!, 9.14
STAY FREE, Machico, Happy, God’s Blessing on this Wonderful World!, 8.21
Imagination, SPYAIR, Motivated, Haikyu!!, 8.75
Ah Yeah!!, Sukima Switch, Intense, Haikyu!!, 7.92
Tenchi Gaeshi, NICO Touches the Walls, Love, Haikyu!!, 9.14
LEO, tacica, Sad, Haikyu!!, 8.21
I’M A BELIEVER, SPYAIR, Happy, Haikyu!!, 8.45
FLY HIGH!!, BURNOUT SYNDROMES, Motivated, Haikyu!!, 7.68
Climber, Galileo Galilei, Happy, Haikyu!!, 8.91
Hatsunetsu, tacica, Love, Haikyu!!, 9.03
Hikari Are, BURNOUT SYNDROMES, Intense, Haikyu!!, 7.77
Mashi Mashi, NICO Touches the Walls, Sad, Haikyu!!, 8.29
PHOENIX, BURNOUT SYNDROMES, Motivated, Haikyu!!, 8.87
Toppakou, SUPER BEAVER, Happy, Haikyu!!, 7.61
Kessen Spirit, CHiCO with HoneyWorks, Love, Haikyu!!, 9.12
One Day, SPYAIR, Intense, Haikyu!!, 7.94
ORANGE, SPYAIR, Motivated, Haikyu!!, 8.56
Uragiri no Yuuyake, Theatre Brook, Happy, Durarara!!, 8.21
Complication, ROOKiEZ is PUNK'D, Intense, Durarara!!, 7.95
Trust Me, Yuya Matsushita, Motivated, Durarara!!, 8.47
Butterfly, ON/OFF, Happy, Durarara!!, 8.13
HEADHUNT, OKAMOTO'S, Intense, Durarara!!, 7.82
NEVER SAY NEVER, THREE LIGHTS DOWN KING, Sad, Durarara!!, 8.35
Day you laugh, Toshiyuki Toyonaga, Love, Durarara!!, 9.04
Steppin' out, FLOW, Motivated, Durarara!!, 8.68
Joker ni Yoroshiku, PENGUIN RESEARCH, Happy, Durarara!!, 8.76
TRASH CANDY, GRANRODEO, Intense, Bungo Stray Dogs, 8.92
Namae wo Yobu yo, Luck Life, Motivated, Bungo Stray Dogs, 8.77
Reason Living, SCREEN mode, Intense, Bungo Stray Dogs, 8.85
Kaze ga Fuku Machi, Luck Life, Happy, Bungo Stray Dogs, 8.61
Setsuna no Ai, GRANRODEO, Love, Bungo Stray Dogs, 9.03
Lily, Luck Life, Sad, Bungo Stray Dogs, 8.42
TRUE STORY, SCREEN mode, Motivated, Bungo Stray Dogs, 8.78
Shirushi, Luck Life, Sad, Bungo Stray Dogs, 8.55
Tetsu no Ori, GRANRODEO, Intense, Bungo Stray Dogs, 8.87
Kiseki, Luck Life, Motivated, Bungo Stray Dogs, 8.96

