Song Name ,Artist,Emotions,Anime,Ratings
Utakata Hanabi, supercell, Sad, Naruto: Shippuden, 8.09
U can do it!, DOMINO, Motivated, Naruto: Shippuden, 10.00
Mayonaka no Orchestra, Aqua Timez, Sad, Naruto: Shippuden, 8.37
FREEDOM, HOME MADE Kazoku, Motivated, Naruto: Shippuden, 8.45
Yokubou wo Sakebe!!!!, OKAMOTO'S, Intense, Naruto: Shippuden, 8.76
Place to Try, TOTALFAT, Happy, Naruto: Shippuden, 7.87
By My Side, Hemenway, Love, Naruto: Shippuden, 8.32
Cascade, UNLIMITS, Intense, Naruto: Shippuden, 8.98
Kono Koe Karashite feat. CHEHON, AISHA, Intense, Naruto: Shippuden, 8.65
MOTHER, MUCC, Pain, Naruto: Shippuden, 8.21
Sayonara Memory, 7!!, Sad, Naruto: Shippuden, 7.76
I Can Hear, DISH//, Happy, Naruto: Shippuden, 7.43
Yume wo Daite Hajimari no Crissroad, Rake, Love, Naruto: Shippuden, 8.98
Black Night Town, Akihisa Kondou, Sad, Naruto: Shippuden, 7.87
FLAME, DISH//, Intense, Naruto: Shippuden, 8.65
Never Change feat.Lyu, SHUN, Love, Naruto: Shippuden, 8.32
No no way, Shiori Tomita, Sad, Naruto: Shippuden, 7.65
Spinning World, Diana Garnet, Happy, Naruto: Shippuden, 8.43
Kotoba no Iranai Yakusoku, sana, Love, Naruto: Shippuden, 7.98
Rainbow Sky, FLOW, Intense, Naruto: Shippuden, 8.76
Trouble Maker, KANIKAPILA, Happy, Naruto: Shippuden, 8.09
That kind of you this kind of me, Thinking Dogs, Sad, Naruto: Shippuden, 7.76
Blue Lullaby, Kuroneko Chelsea, Sad, Naruto: Shippuden, 7.32
Pino to Amélie, Huwie Ishizaki, Happy, Naruto: Shippuden, 8.54
Tabidachi no Uta, Ayumikurikamaki, Sad, Naruto: Shippuden, 7.21
Absolutely, Swimy, Intense, Naruto: Shippuden, 8.87
Resonance, T.M.Revolution, Intense, Soul Eater, 8.76
PAPERMOON, Tommy heavenly6, Sad, Soul Eater, 8.43
I Wanna Be, STANCE PUNKS, Motivated, Soul Eater, 7.89
Style, Kana Nishino, Love, Soul Eater, 7.65
Bakusou Yumeuta, Diggy-MO’, Happy, Soul Eater, 7.54
Strength, abingdon boys school, Intense, Soul Eater, 8.65
Counter Identity, UNISON SQUARE GARDEN, Motivated, Soul Eater, 7.98
Ai ga Hoshii yo, Shion Tsuji, Love, Soul Eater, 7.43
Ao no Kaori, Yui Makino, Sad, Soul Eater, 7.21
Northern Lights, How Merry Marry, Happy, Soul Eater, 7.65
Inferno, Mrs. GREEN APPLE, Intense, Fire Force, 10.00
MAYDAY feat. Ryo from CRYSTAL LAKE, coldrain, Motivated, Fire Force, 7.89
veil, Keina Suda, Intense, Fire Force, 10.00
SPARK-AGAIN, Aimer, Intense, Fire Force, 9.43
Torch of Liberty, KANA-BOON, Motivated, Fire Force, 8.76
ID, CIDERGIRL, Intense, Fire Force, 8.09
Desire, PELICAN FANCLUB, Intense, Fire Force, 8.54
Mixed Nuts, Official HIGE DANdism, Happy, SPYxFAMILY, 8.21
SOUVENIR, BUMP OF CHICKEN, Motivated, SPYxFAMILY, 8.76
Kigeki, Gen Hoshino, Intense, SPYxFAMILY, 8.65
Shikisai, yama, Intense, SPYxFAMILY, 8.43
Kura Kura, Ado, Intense, SPYxFAMILY, 9.10
Todome no Ichigeki feat. Cory Wong, Vaundy, Intense, SPYxFAMILY, 8.87
SOULSOUP, Official HIGE DANdism, Motivated, SPYxFAMILY, 8.54
Hikari no Ato, Gen Hoshino, Motivated, SPYxFAMILY, 8.32
Gurenge, LiSA, Intense, Demon Slayer, 9.21
from the edge, FictionJunction, Intense, Demon Slayer, 8.76
Kamado Tanjiro no Uta, Go Shiina, Motivated, Demon Slayer, 8.43
Akeboshi, LiSA, Intense, Demon Slayer, 8.87
Shirogane, LiSA, Intense, Demon Slayer, 8.98
Homura, LiSA, Intense, Demon Slayer, 8.76
Zankyou Zanka, Aimer, Intense, Demon Slayer, 8.65
Asa ga Kuru, Aimer, Motivated, Demon Slayer, 7.89
Kizuna no Kiseki, MAN WITH A MISSION, Love, Demon Slayer, 8.32
Koi Kogare, MAN WITH A MISSION, Love, Demon Slayer, 7.76
Mugen, MY FIRST STORY, Intense, Demon Slayer, 8.54
Date A Live, sweet ARMS, Love, Date A Live, 8.21
SAVE THE WORLD, Iori Nomizu, Motivated, Date A Live, 7.65
SAVE MY HEART, Iori Nomizu, Motivated, Date A Live, 7.98
Strawberry Rain, Iori Nomizu, Happy, Date A Live, 8.43
Trust in you, sweet ARMS, Love, Date A Live, 8.09
Day to Story, Kaori Sadohara, Motivated, Date A Live, 7.87
My Treasure, Minori Chihara, Love, Date A Live, 8.54
I swear, sweet ARMS, Love, Date A Live, 8.65
Last Promise, Erii Yamazaki, Sad, Date A Live, 7.32
OveR, Miyu Tomita, Intense, Date A Live, 8.76
S.O.S, sweet ARMS, Intense, Date A Live, 8.98
Paradoxes, Miyu Tomita, Intense, Date A Live, 8.43
Hitohira, sweet ARMS, Love, Date A Live, 8.65
Peace Sign, Kenshi Yonezu, Motivated, My Hero Academia, 9.21
The Day, Porno Graffiti, Intense, My Hero Academia, 9.54
Sora ni Utaeba, amazarashi, Sad, My Hero Academia, 8.32
Dakara Hitori Janai, Little Glee Monster, Motivated, My Hero Academia, 8.76
Datte Atashi no Hero, LiSA, Motivated, My Hero Academia, 9.10
ODD FUTURE, UVERworld, Intense, My Hero Academia, 9.43
Make my story, Lenny code fiction, Motivated, My Hero Academia, 8.87
Update, miwa, Motivated, My Hero Academia, 8.54
Long Hope Philia, Masaki Suda, Motivated, My Hero Academia, 9.32
Polaris, BLUE ENCOUNT, Motivated, My Hero Academia, 8.76
Star Marker, KANA-BOON, Motivated, My Hero Academia, 8.54
Koukai no Uta, Sayuri, Motivated, My Hero Academia, 8.87
Shout Baby, Ryokuoushoku Shakai, Motivated, My Hero Academia, 8.65
No.1, DISH//, Motivated, My Hero Academia, 8.98
Merry-Go-Round, MAN WITH A MISSION, Motivated, My Hero Academia, 9.21
Ashiato, the peggies, Motivated, My Hero Academia, 8.43
Uso Janai, Soushi Sakiyama, Motivated, My Hero Academia, 8.09
Hitamuki, SUPER BEAVER, Motivated, My Hero Academia, 9.10
Bokura no, Eve, Motivated, My Hero Academia, 8.32
SKETCH, Kiiro Akiyama, Motivated, My Hero Academia, 8.65
Kitakaze, SIX LOUNGE, Motivated, My Hero Academia, 8.76
Tagatame, TK from Ling tosite sigure, Pain, My Hero Academia, 8.54
Tsubomi, Omoinotake, Motivated, My Hero Academia, 8.87
Higher Ground, sumika, Motivated, My Hero Academia, 8.43
Empathy, ASIAN KUNG-FU GENERATION, Motivated, My Hero Academia, 8.98
Pray, Tommy heavenly6, Intense, Gintama, 8.65
Tooi Nioi, YO-KING, Sad, Gintama, 7.87
Giniro no Sora, redballoon, Happy, Gintama, 8.21
Kasanaru Kage, Hearts Grow, Love, Gintama, 8.76
Donten, DOES, Intense, Gintama, 9.09
